typology,curve,candidate_frame,window_start,window_end
b2,curve_96,21,18,24
b2,curve_96,22,19,25
b2,curve_96,23,20,26
b2,curve_97,5,2,8
b2,curve_97,6,3,9
b2,curve_97,7,4,10
b2,curve_97,8,5,11
b2,curve_97,20,17,23
b2,curve_97,21,18,24
b2,curve_97,22,19,25
b2,curve_97,23,20,26
b2,curve_98,5,2,8
b2,curve_98,6,3,9
b2,curve_98,7,4,10
b2,curve_98,8,5,11
b2,curve_98,20,17,23
b2,curve_98,21,18,24
b2,curve_98,22,19,25
b2,curve_99,6,3,9
b2,curve_99,7,4,10
b2,curve_99,8,5,11
b2,curve_99,9,6,12
b2,curve_99,10,7,13
b2,curve_99,20,17,23
b2,curve_99,21,18,24
b2,curve_99,22,19,25
